recency,frequency,total_value,bank_approved,bank_err,bank_invalid_card,bank_insufficient_fund,bank_do_not_honor,bank_lost_card,amount_high,is_fraud,channel_master,channel_visa,channel_amex
191,2,36100.0,1,0,0,0,1,0,1,2,2,0,0
191,2,135000.0,1,0,0,0,1,0,2,2,2,0,0
191,3,162000.0,2,0,0,0,1,0,3,3,3,0,0
190,1,54000.0,1,0,0,0,0,0,1,1,1,0,0
190,1,45000.0,1,0,0,0,0,0,1,1,1,0,0
190,1,63000.0,1,0,0,0,0,0,1,1,1,0,0
191,1,45000.0,1,0,0,0,0,0,1,1,1,0,0
191,4,121735.0,1,0,0,0,3,0,2,4,4,0,0
190,2,56365.0,1,0,0,0,1,0,1,2,2,0,0
191,2,81000.0,2,0,0,0,0,0,2,2,2,0,0
189,2,64635.0,1,0,0,0,1,0,1,2,2,0,0
187,2,93800.0,0,0,0,0,2,0,1,2,2,0,0
191,1,54000.0,0,0,0,0,1,0,1,1,1,0,0
191,2,65365.0,1,0,0,0,1,0,1,2,2,0,0
190,1,81000.0,1,0,0,0,0,0,1,1,1,0,0
190,2,126000.0,2,0,0,0,0,0,2,2,2,0,0
190,1,54000.0,0,0,0,0,1,0,1,1,1,0,0
187,1,54000.0,1,0,0,0,0,0,1,1,1,0,0
187,1,72000.0,1,0,0,0,0,0,1,1,1,0,0
326,1,6110.0,1,0,0,0,0,0,0,0,0,1,0
330,1,6110.0,1,0,0,0,0,0,0,0,0,1,0
7,34,53372.0,20,0,0,14,0,0,0,0,0,34,0
301,4,13096.0,0,0,4,0,0,0,0,0,0,4,0
6,33,117315.0,3,0,0,29,0,1,0,0,0,33,0
236,3,15664.0,0,0,0,0,0,3,0,0,0,3,0
296,12,47001.0,0,0,0,0,0,12,0,0,0,12,0
24,48,248832.0,0,0,0,47,1,0,0,0,48,0,0
1,204,1120054.0,2,0,0,200,2,0,0,0,0,204,0
301,1,3100.0,0,0,0,0,0,1,0,0,0,1,0
275,10,47395.0,0,0,0,8,0,2,0,0,0,10,0
299,5,11490.0,0,0,0,0,0,5,0,0,0,5,0
311,2,5880.0,0,0,0,0,1,1,0,0,0,2,0
236,1,3105.0,0,0,0,0,0,1,0,0,0,1,0
228,1,5800.0,0,0,0,0,0,1,0,0,0,1,0
21,37,142339.0,4,0,0,33,0,0,0,0,0,37,0
240,1,40921.0,1,0,0,0,0,0,1,0,1,0,0
46,1,10000.0,0,0,0,1,0,0,0,0,0,1,0
30,10,39880.0,10,0,0,0,0,0,0,0,0,10,0
32,50,156638.0,9,0,0,41,0,0,0,0,0,50,0
7,20,200288.0,12,0,0,8,0,0,13,0,0,20,0
1,15,75182.0,3,0,0,12,0,0,0,0,0,15,0
165,1,3206.0,1,0,0,0,0,0,0,0,0,1,0
2,19,58406.0,2,0,0,17,0,0,0,0,0,19,0
7,13,243451.0,11,0,0,2,0,0,13,0,0,13,0
295,7,15519.0,0,0,0,4,3,0,0,0,0,7,0
30,10,202260.0,10,0,0,0,0,0,10,0,10,0,0
57,9,20061.0,9,0,0,0,0,0,0,0,9,0,0
10,180,812261.0,0,0,0,169,5,6,0,0,0,180,0
29,12,29521.0,7,0,0,5,0,0,0,0,0,12,0
207,7,14763.0,1,0,0,6,0,0,0,0,0,7,0
8,85,352675.0,0,0,0,84,1,0,0,0,0,85,0
8,165,1369370.0,0,0,0,161,4,0,33,0,0,165,0
40,107,296922.0,0,0,0,3,101,3,0,0,0,107,0
299,7,22097.0,0,0,0,0,0,7,0,0,0,7,0
220,24,360000.0,0,0,0,24,0,0,24,0,0,24,0
282,8,60000.0,1,0,0,7,0,0,0,0,0,8,0
53,38,116692.0,0,0,0,4,34,0,0,0,0,38,0
11,6,30570.0,6,0,0,0,0,0,0,0,0,6,0
19,36,77292.0,0,0,0,36,0,0,0,0,0,36,0
7,23,172500.0,9,0,0,14,0,0,0,0,0,23,0
165,1,50000.0,1,0,0,0,0,0,1,0,0,1,0
1,381,1740005.0,11,1,0,368,1,0,10,0,0,381,0
242,4,45424.0,0,0,0,0,0,4,2,0,0,4,0
167,1,100000.0,1,0,0,0,0,0,1,0,0,1,0
171,1,16750.0,1,0,0,0,0,0,1,0,0,1,0
170,4,12180.0,0,0,0,4,0,0,0,0,0,4,0
29,1,64000.0,1,0,0,0,0,0,1,0,0,1,0
30,24,89400.0,4,0,0,20,0,0,0,0,0,24,0
2,3,150000.0,1,0,0,2,0,0,3,0,0,3,0
25,30,94590.0,6,0,0,24,0,0,0,0,0,30,0
299,5,15020.0,0,0,0,0,0,5,0,0,0,5,0
210,1,19884.0,1,0,0,0,0,0,1,0,0,1,0
30,12,8748.0,10,0,0,2,0,0,0,0,0,12,0
8,48,243408.0,2,0,0,46,0,0,0,0,0,48,0
300,2,2238.0,0,0,0,0,0,2,0,0,0,2,0
19,51,281468.0,0,0,0,50,0,1,0,0,51,0,0
31,3,85175.0,3,0,0,0,0,0,3,0,3,0,0
50,35,218750.0,0,0,0,35,0,0,0,0,0,35,0
1,605,2781170.0,0,0,0,603,2,0,0,0,0,605,0
302,9,22527.0,0,0,0,0,0,9,0,0,0,9,0
25,24,59287.0,4,0,0,20,0,0,0,0,0,24,0
1,107,745698.0,0,0,0,107,0,0,0,0,0,107,0
236,11,48300.0,0,0,0,7,0,4,0,0,0,11,0
20,125,690270.0,6,0,0,116,3,0,28,0,1,124,0
20,1,6600.0,1,0,0,0,0,0,0,0,0,1,0
91,3,6909.0,2,0,0,0,0,1,0,0,0,3,0
56,36,133596.0,0,0,0,34,1,1,0,0,0,36,0
56,36,147348.0,0,0,0,33,2,1,0,0,0,36,0
24,37,87283.0,1,0,0,36,0,0,0,0,0,37,0
27,15,75300.0,7,0,0,8,0,0,0,0,0,15,0
1,7,47312.0,6,0,0,1,0,0,1,0,0,7,0
10,38,225009.0,2,0,0,36,0,0,0,0,0,38,0
19,43,328434.0,0,0,0,43,0,0,0,0,0,43,0
6,3,8163.0,3,0,0,0,0,0,0,0,0,3,0
8,328,1367321.0,1,0,0,325,2,0,0,0,1,327,0
16,2,8107.0,2,0,0,0,0,0,0,0,0,2,0
124,4,50000.0,4,0,0,0,0,0,2,0,0,4,0
24,17,90509.0,1,0,0,16,0,0,0,0,0,17,0
24,23,49565.0,4,0,0,19,0,0,0,0,0,23,0
40,25,74800.0,4,0,0,20,0,1,0,0,0,25,0
19,9,110736.0,8,0,0,1,0,0,9,0,0,9,0
5,8,28624.0,8,0,0,0,0,0,0,0,0,8,0
67,33,134607.0,1,0,0,32,0,0,0,0,0,33,0
109,28,76188.0,1,0,0,26,1,0,0,0,0,28,0
20,11,45023.0,11,0,0,0,0,0,0,0,0,11,0
24,70,294564.0,4,0,0,66,0,0,0,0,0,70,0
202,1,2130.0,0,0,0,1,0,0,0,0,0,1,0
20,43,233791.0,0,0,0,43,0,0,0,0,0,43,0
2,223,662954.0,0,0,0,223,0,0,0,0,0,223,0
2,4,106195.0,3,0,0,1,0,0,4,0,0,4,0
11,10,65000.0,6,0,0,4,0,0,0,0,0,10,0
124,4,40000.0,4,0,0,0,0,0,0,0,0,4,0
68,3,71513.0,0,0,0,0,3,0,3,0,0,3,0
302,1,5814.0,0,0,0,0,0,1,0,0,0,1,0
9,33,186870.0,3,0,0,30,0,0,0,0,0,33,0
15,11,33594.0,10,0,0,0,0,1,0,0,0,11,0
118,4,9385.0,1,0,0,2,0,1,0,0,0,4,0
19,34,408680.0,0,0,0,34,0,0,34,0,0,34,0
8,52,361036.0,0,0,0,0,52,0,0,0,0,52,0
79,3,12106.0,2,0,1,0,0,0,0,0,0,3,0
35,19,43434.0,7,0,0,4,8,0,0,0,0,19,0
279,1,2926.0,1,0,0,0,0,0,0,0,0,1,0
9,10,127970.0,10,0,0,0,0,0,10,0,0,10,0
308,4,31784.0,0,0,0,4,0,0,0,0,0,4,0
19,43,117003.0,1,0,0,38,4,0,0,0,0,43,0
15,19,49142.0,18,0,0,1,0,0,0,0,0,19,0
62,17,50864.0,6,0,1,10,0,0,0,0,0,17,0
10,16,64768.0,10,0,0,6,0,0,0,0,0,16,0
2,29,259535.0,22,0,0,5,2,0,0,0,0,29,0
57,5,29925.0,4,0,1,0,0,0,0,0,0,5,0
181,1,100000.0,1,0,0,0,0,0,1,0,0,1,0
216,1,2624.0,0,0,0,0,0,1,0,0,0,1,0
7,111,577330.0,63,0,0,48,0,0,19,0,0,111,0
20,12,27336.0,8,0,0,4,0,0,0,0,12,0,0
30,12,1576164.0,0,0,1,11,0,0,12,0,12,0,0
3,4,67818.0,4,0,0,0,0,0,3,0,4,0,0
30,14,40978.0,8,0,0,5,1,0,0,0,14,0,0
5,17,51188.0,9,0,0,8,0,0,0,0,17,0,0
9,41,190650.0,1,0,0,40,0,0,0,0,41,0,0
24,13,216380.0,5,0,0,0,8,0,10,0,13,0,0
118,2,30000.0,0,0,0,0,2,0,1,0,2,0,0
248,6,103747.0,0,0,0,0,0,6,3,0,6,0,0
218,1,3578.0,0,0,0,0,1,0,0,0,1,0,0
181,3,16084.0,0,0,0,0,0,3,0,0,0,3,0
305,4,9194.0,0,0,0,0,0,4,0,0,0,4,0
121,9,56250.0,1,0,0,8,0,0,0,0,0,9,0
24,36,82152.0,0,0,0,36,0,0,0,0,36,0,0
25,20,79784.0,3,0,0,17,0,0,0,0,20,0,0
19,52,150630.0,3,0,0,48,1,0,0,0,0,52,0
23,4,9144.0,4,0,0,0,0,0,0,0,0,4,0
29,6,13770.0,6,0,0,0,0,0,0,0,0,6,0
10,5,31250.0,5,0,0,0,0,0,0,0,0,5,0
23,4,9178.0,4,0,0,0,0,0,0,0,0,4,0
105,12,42180.0,10,0,0,0,2,0,0,0,0,12,0
1,102,456310.0,0,0,0,102,0,0,0,0,0,102,0
109,1,120000.0,1,0,0,0,0,0,1,0,0,1,0
100,3,9512.0,2,0,0,0,0,1,0,0,0,3,0
111,1,10000.0,0,0,0,1,0,0,0,0,0,1,0
13,7,40824.0,6,0,0,1,0,0,0,0,0,7,0
1,13,101460.0,13,0,0,0,0,0,5,0,0,13,0
4,1,3885.0,1,0,0,0,0,0,0,0,0,1,0
142,1,3630.0,0,0,0,1,0,0,0,0,0,1,0
37,2,40380.0,2,0,0,0,0,0,2,0,0,2,0
7,7,36009.0,6,0,0,0,1,0,0,0,0,7,0
150,2,14564.0,0,0,0,0,0,2,0,0,0,2,0
151,1,5675.0,1,0,0,0,0,0,0,0,0,1,0
18,1,6962.0,1,0,0,0,0,0,0,0,1,0,0
86,2,28000.0,2,0,0,0,0,0,2,0,2,0,0
31,5,18260.0,5,0,0,0,0,0,0,0,5,0,0
38,1,11794.0,1,0,0,0,0,0,1,0,1,0,0
292,8,17864.0,0,0,0,8,0,0,0,0,0,8,0
31,6,163290.0,6,0,0,0,0,0,6,0,0,6,0
11,9,23670.0,5,0,0,4,0,0,0,0,0,9,0
16,6,22179.0,6,0,0,0,0,0,0,0,0,6,0
15,14,32004.0,5,0,0,9,0,0,0,0,0,14,0
249,1,2300.0,1,0,0,0,0,0,0,0,0,1,0
91,1,2460.0,0,0,0,1,0,0,0,0,0,1,0
13,18,144144.0,11,0,0,7,0,0,0,0,0,18,0
13,13,176870.0,1,0,0,12,0,0,13,0,0,13,0
250,2,16935.0,1,0,1,0,0,0,0,0,0,2,0
100,25,95931.0,9,0,0,13,1,2,0,0,0,25,0
2,36,142971.0,31,0,0,5,0,0,0,0,0,36,0
19,40,184110.0,15,0,0,25,0,0,0,0,0,40,0
224,1,10000.0,0,0,0,1,0,0,0,0,0,1,0
21,9,45117.0,5,0,0,4,0,0,0,0,0,9,0
92,10,23042.0,4,0,0,5,0,1,0,0,0,10,0
16,5,32500.0,5,0,0,0,0,0,0,0,0,5,0
13,6,87450.0,6,0,0,0,0,0,6,0,0,6,0
30,10,67030.0,10,0,0,0,0,0,0,0,0,10,0
91,3,56250.0,3,0,0,0,0,0,3,0,0,3,0
15,15,93438.0,15,0,0,0,0,0,1,0,0,15,0
25,8,18539.0,4,0,0,4,0,0,0,0,0,8,0
294,1,18000.0,0,0,0,1,0,0,1,0,0,1,0
27,13,29876.0,3,0,0,10,0,0,0,0,0,13,0
303,2,20000.0,0,0,0,0,0,2,0,0,0,2,0
2,9,20729.0,9,0,0,0,0,0,0,0,0,9,0
57,3,6534.0,3,0,0,0,0,0,0,0,0,3,0
1,3,12035.0,3,0,0,0,0,0,0,0,0,3,0
1,34,77724.0,3,0,0,31,0,0,0,0,0,34,0
16,5,49476.0,5,0,0,0,0,0,1,0,0,5,0
273,1,12795.0,1,0,0,0,0,0,1,0,0,1,0
209,3,22500.0,2,0,0,1,0,0,0,0,0,3,0
26,40,91440.0,2,0,0,38,0,0,0,0,0,40,0
6,5,15940.0,1,0,0,4,0,0,0,0,0,5,0
20,5,65431.0,5,0,0,0,0,0,5,0,0,5,0
286,1,6250.0,0,0,0,1,0,0,0,0,0,1,0
1,9,113466.0,8,0,0,1,0,0,9,0,0,9,0
12,12,35934.0,9,0,0,3,0,0,0,0,0,12,0
19,2,17000.0,2,0,0,0,0,0,0,0,0,2,0
65,12,226800.0,0,0,0,12,0,0,12,0,0,12,0
11,5,49972.0,1,0,0,4,0,0,0,0,0,5,0
1,19,43723.0,8,0,0,11,0,0,0,0,0,19,0
62,32,177394.0,3,0,0,28,0,1,1,0,0,32,0
24,11,177495.0,2,0,0,9,0,0,11,0,0,11,0
89,3,40471.0,2,0,0,0,0,1,3,0,0,3,0
36,4,70780.0,3,0,0,0,1,0,4,0,0,4,0
31,22,117854.0,5,0,0,17,0,0,0,0,0,22,0
8,42,96940.0,1,0,0,41,0,0,0,0,0,42,0
16,3,17996.0,3,0,0,0,0,0,0,0,0,3,0
17,27,88240.0,3,0,0,23,1,0,0,0,1,26,0
2,4,53952.0,4,0,0,0,0,0,4,0,0,4,0
25,22,70202.0,5,0,0,17,0,0,0,0,0,22,0
1,13,40859.0,2,0,0,11,0,0,0,0,0,13,0
1,25,205859.0,22,0,0,3,0,0,8,0,0,25,0
15,3,9247.0,3,0,0,0,0,0,0,0,0,3,0
55,14,81187.0,3,0,0,11,0,0,0,0,0,14,0
6,41,119805.0,1,0,0,40,0,0,0,0,0,41,0
60,2,48069.0,2,0,0,0,0,0,2,0,0,2,0
26,6,20980.0,6,0,0,0,0,0,0,0,0,6,0
28,7,82261.0,2,0,0,5,0,0,7,0,0,7,0
58,19,94792.0,3,0,0,16,0,0,0,0,0,19,0
15,5,68121.0,1,0,0,4,0,0,5,0,0,5,0
188,1,1400.0,0,0,0,0,0,1,0,0,0,1,0
241,1,3165.0,0,0,0,0,0,1,0,0,0,1,0
2,5,15201.0,5,0,0,0,0,0,0,0,0,5,0
31,1,18190.0,1,0,0,0,0,0,1,0,0,1,0
16,3,6960.0,3,0,0,0,0,0,0,0,0,3,0
250,3,28501.0,3,0,0,0,0,0,1,0,0,3,0
1,28,209919.0,3,0,0,25,0,0,0,0,0,28,0
29,4,12216.0,4,0,0,0,0,0,0,0,0,4,0
25,27,84920.0,3,0,0,24,0,0,0,0,0,27,0
226,5,705175.0,0,0,0,0,4,1,5,0,0,5,0
1,13,81250.0,7,0,0,6,0,0,0,0,0,13,0
42,9,121420.0,1,0,0,7,1,0,9,0,0,9,0
75,12,26138.0,7,0,1,3,1,0,0,0,0,12,0
1,24,55156.0,3,0,0,21,0,0,0,0,0,24,0
6,10,100000.0,8,0,0,0,2,0,0,0,0,10,0
1,19,47198.0,6,0,0,12,1,0,0,0,0,19,0
15,24,131784.0,5,0,0,4,15,0,0,0,0,24,0
315,1,122020.0,0,0,0,0,1,0,1,0,0,1,0
20,17,111036.0,7,0,0,10,0,0,0,0,0,17,0
16,15,42061.0,3,0,0,12,0,0,0,0,0,15,0
120,1,102055.0,1,0,0,0,0,0,1,0,0,1,0
33,3,78105.0,3,0,0,0,0,0,3,0,0,3,0
84,4,1200000.0,0,0,0,4,0,0,4,0,0,4,0
89,3,24045.0,1,0,2,0,0,0,0,0,0,3,0
33,2,149440.0,1,0,0,1,0,0,2,0,0,2,0
7,2,6430.0,2,0,0,0,0,0,0,0,0,2,0
66,13,41805.0,7,0,1,4,0,1,0,0,0,13,0
66,3,74718.0,3,0,0,0,0,0,3,0,0,3,0
2,14,171008.0,6,0,0,8,0,0,14,0,14,0,0
1,2,13414.0,2,0,0,0,0,0,0,0,2,0,0
151,1,5670.0,1,0,0,0,0,0,0,0,1,0,0
25,32,100544.0,2,0,0,29,1,0,0,0,32,0,0
208,13,180233.0,3,0,0,9,1,0,13,0,13,0,0
160,1,2279.0,0,0,0,1,0,0,0,0,1,0,0
12,11,34518.0,11,0,0,0,0,0,0,0,11,0,0
189,1,12320.0,1,0,0,0,0,0,1,0,1,0,0
30,22,304234.0,14,0,0,8,0,0,22,0,22,0,0
205,6,37500.0,2,0,0,4,0,0,0,0,6,0,0
6,28,181752.0,6,0,0,17,5,0,0,0,28,0,0
5,15,62886.0,11,0,0,0,4,0,0,0,15,0,0
66,2,4276.0,0,0,0,0,2,0,0,0,2,0,0
1,21,67137.0,7,0,0,14,0,0,0,0,0,21,0
29,14,100882.0,12,0,0,0,2,0,6,0,14,0,0
291,10,19739.0,0,0,0,0,0,10,0,0,0,10,0
24,24,150000.0,1,0,0,23,0,0,0,0,0,24,0
181,2,2686.0,2,0,0,0,0,0,0,0,0,2,0
91,152,455971.0,0,0,0,145,2,5,0,0,0,152,0
165,69,236370.0,0,0,0,66,0,3,0,0,0,69,0
2,157,409533.0,1,0,0,150,6,0,0,0,0,157,0
19,8,24710.0,8,0,0,0,0,0,0,0,0,8,0
25,2,11396.0,2,0,0,0,0,0,0,0,0,2,0
16,11,224345.0,11,0,0,0,0,0,11,0,0,11,0
97,11,31047.0,3,0,0,8,0,0,0,0,0,11,0
19,40,153880.0,1,0,0,39,0,0,0,0,0,40,0
30,10,204430.0,10,0,0,0,0,0,10,0,0,10,0
9,85,351001.0,1,0,0,84,0,0,0,0,85,0,0
50,17,275910.0,0,0,0,17,0,0,17,0,0,17,0
309,1,12649.0,0,0,0,0,0,1,1,0,0,1,0
36,19,107431.0,8,0,0,11,0,0,0,0,0,19,0
305,2,6380.0,0,0,2,0,0,0,0,0,0,2,0
78,28,97384.0,1,0,0,27,0,0,0,0,0,28,0
211,6,24042.0,2,0,0,3,0,1,0,0,0,6,0
151,22,49566.0,1,0,0,19,2,0,0,0,0,22,0
74,5,21264.0,2,0,0,3,0,0,0,0,0,5,0
2,28,164416.0,2,0,0,25,1,0,0,0,0,28,0
241,1,10123.0,0,0,0,0,1,0,1,0,0,1,0
211,2,23359.0,1,0,0,0,0,1,2,0,0,2,0
1,17,39376.0,8,0,0,9,0,0,0,0,0,17,0
24,16,44160.0,8,0,0,8,0,0,0,0,0,16,0
23,8,29688.0,8,0,0,0,0,0,0,0,0,8,0
1,17,127534.0,10,0,0,7,0,0,0,0,0,17,0
28,32,75672.0,16,0,0,16,0,0,0,0,0,32,0
83,6,184452.0,2,0,0,4,0,0,6,0,0,6,0
153,1,1472.0,1,0,0,0,0,0,0,0,0,1,0
7,32,129984.0,3,0,0,9,20,0,0,0,0,32,0
296,5,11915.0,0,0,0,0,0,5,0,0,0,5,0
24,35,93065.0,1,0,0,34,0,0,0,0,0,35,0
16,40,124762.0,11,0,0,29,0,0,0,0,0,40,0
16,6,16562.0,6,0,0,0,0,0,0,0,0,6,0
2,41,126321.0,0,0,0,41,0,0,0,0,0,41,0
13,12,49152.0,2,0,0,10,0,0,0,0,0,12,0
150,1,1341.0,0,0,0,0,0,1,0,0,0,1,0
315,1,2883.0,0,0,0,0,1,0,0,0,0,1,0
15,6,15312.0,6,0,0,0,0,0,0,0,0,6,0
150,10,46004.0,7,0,0,1,0,2,0,0,0,10,0
9,41,128947.0,1,0,0,0,40,0,0,0,0,41,0
322,1,17271.0,1,0,0,0,0,0,1,0,0,1,0
1,35,409710.0,3,0,0,31,1,0,35,0,0,35,0
15,35,148769.0,35,0,0,0,0,0,0,0,0,35,0
18,8,52000.0,7,0,0,0,1,0,0,0,8,0,0
1,19,925813.0,9,0,0,10,0,0,19,0,19,0,0
1,20,45560.0,10,0,0,10,0,0,0,0,20,0,0
30,34,99586.0,1,0,1,0,32,0,0,0,34,0,0
56,4,105536.0,3,0,0,1,0,0,4,0,4,0,0
24,13,36842.0,9,0,0,4,0,0,0,0,13,0,0
209,2,10824.0,2,0,0,0,0,0,0,0,2,0,0
24,62,314557.0,4,0,0,2,56,0,0,0,62,0,0
31,21,107667.0,6,0,0,15,0,0,0,0,21,0,0
305,2,314302.0,0,0,0,0,1,1,2,0,0,2,0
298,7,21177.0,0,0,0,0,0,7,0,0,0,7,0
299,5,16145.0,0,0,0,0,0,5,0,0,0,5,0
24,12,36192.0,1,0,0,11,0,0,0,0,0,12,0
174,2,3385.0,2,0,0,0,0,0,0,0,0,2,0
114,6,16136.0,3,0,0,0,0,3,0,0,0,6,0
174,134,709809.0,2,0,0,104,4,24,9,0,0,134,0
19,171,473294.0,0,0,0,171,0,0,0,0,0,171,0
2,11,25278.0,11,0,0,0,0,0,0,0,0,11,0
1,447,1378966.0,1,0,0,445,1,0,0,0,0,447,0
211,8,10101.0,0,0,0,0,0,8,0,0,0,8,0
181,1,7053.0,1,0,0,0,0,0,0,0,0,1,0
305,2,13096.0,1,0,0,1,0,0,0,0,0,2,0
5,10,36202.0,10,0,0,0,0,0,0,0,0,10,0
2,19,449971.0,6,0,0,13,0,0,19,0,0,19,0
24,20,80700.0,5,0,0,15,0,0,0,0,0,20,0
17,34,124839.0,22,0,0,12,0,0,1,0,0,34,0
29,32,133875.0,15,0,0,17,0,0,3,0,0,32,0
1,7,19839.0,7,0,0,0,0,0,0,0,0,7,0
234,5,17895.0,3,0,0,1,0,1,0,0,0,5,0
2,10,22330.0,10,0,0,0,0,0,0,0,0,10,0
97,7,21450.0,7,0,0,0,0,0,0,0,0,7,0
72,6,13902.0,1,0,1,4,0,0,0,0,0,6,0
89,1,24456.0,1,0,0,0,0,0,1,0,0,1,0
19,87,477226.0,0,0,0,87,0,0,0,0,87,0,0
58,2,27867.0,2,0,0,0,0,0,2,0,2,0,0
24,19,59261.0,7,0,0,0,12,0,0,0,19,0,0
50,17,834746.75,0,0,0,17,0,0,17,0,0,17,0
294,2,5668.0,0,0,0,0,0,2,0,0,0,2,0
305,2,4550.0,0,0,0,0,0,2,0,0,0,2,0
314,2,4252.0,0,0,0,0,0,2,0,0,0,2,0
24,36,71208.0,0,0,0,36,0,0,0,0,36,0,0
1,7,94613.0,6,0,0,1,0,0,4,0,0,7,0
23,45,485280.0,0,0,0,29,16,0,45,0,0,45,0
17,35,188545.0,3,0,0,32,0,0,0,0,0,35,0
15,19,43225.0,9,0,0,9,1,0,0,0,0,19,0
19,44,140800.0,0,1,0,43,0,0,0,0,0,44,0
13,5,11540.0,5,0,0,0,0,0,0,0,0,5,0
29,5,35795.0,4,0,0,1,0,0,0,0,0,5,0
165,2,18826.0,2,0,0,0,0,0,1,0,0,2,0
115,29,219240.0,1,0,0,28,0,0,0,0,0,29,0
287,1,4764.0,0,0,0,1,0,0,0,0,0,1,0
10,11,28700.0,7,0,0,4,0,0,0,0,0,11,0
236,4,10884.0,0,0,0,0,4,0,0,0,0,4,0
228,17,93704.0,0,0,0,0,16,1,0,0,0,17,0
28,1,3695.0,1,0,0,0,0,0,0,0,0,1,0
117,2,102333.0,1,0,0,1,0,0,2,0,0,2,0
294,1,19145.0,0,0,0,0,0,1,1,0,0,1,0
4,37,176319.1,21,0,0,16,0,0,0,0,37,0,0
1,30,63780.0,7,0,0,23,0,0,0,0,0,30,0
25,1,8000.0,1,0,0,0,0,0,0,0,0,1,0
53,4,55476.0,4,0,0,0,0,0,4,0,0,4,0
305,1,10000.0,0,0,0,0,0,1,0,0,0,1,0
22,46,1702250.0,4,0,0,42,0,0,45,0,0,46,0
257,9,43497.0,1,0,0,8,0,0,0,0,0,9,0
256,3,10593.0,3,0,0,0,0,0,0,0,0,3,0
16,11,220000.0,11,0,0,0,0,0,11,0,0,11,0
11,3,94443.0,3,0,0,0,0,0,3,0,3,0,0
228,4,14316.0,4,0,0,0,0,0,0,0,4,0,0
1,5,23476.0,2,0,0,3,0,0,0,0,5,0,0
6,3,12144.0,3,0,0,0,0,0,0,0,0,3,0
170,18,40483.0,0,0,0,11,0,7,0,0,0,18,0
24,13,41327.0,9,0,0,4,0,0,0,0,0,13,0
27,4,9098.0,1,0,0,2,1,0,0,0,1,3,0
10,1,2000.0,1,0,0,0,0,0,0,0,0,1,0
121,25,128325.0,1,0,0,24,0,0,0,0,0,25,0
3,13,23246.0,8,0,0,5,0,0,0,0,0,13,0
3,17,72433.0,10,0,0,7,0,0,0,0,0,17,0
17,11,26290.0,11,0,0,0,0,0,0,0,0,11,0
309,1,8560.0,1,0,0,0,0,0,0,0,0,1,0
6,25,82200.0,6,0,0,15,4,0,0,0,0,25,0
70,9,33031.0,8,0,1,0,0,0,0,0,0,9,0
156,1,35640.0,1,0,0,0,0,0,1,0,0,1,0
